fixed_acidity,residual_sugar,free_sulfur_dioxide,total_sulfur_dioxide,alcohol,quality
8.4,2.7,4,18,9.9,6
8.2,2.4,4,10,12.8,7
8.4,2,4,10,12.5,7
8.2,2.4,4,10,12.8,7
7.4,1.9,4,12,9.2,5
7.6,2.8,4,15,10.3,6
7.3,2.6,4,14,10.5,5
12.9,2.8,7,24,10.9,6
10.8,2.5,20,38,10.8,5
6.9,2.1,4,7,11.4,4
12.6,2.8,19,41,11.3,6
10.8,2.5,20,38,10.8,5
9.8,3.2,8,30,10.5,6
10.8,1.6,19,27,11.9,6
7.1,2.35,21,47,9.4,5
9.1,3.2,9,59,9.6,5
7,1.9,9,22,9.7,5
4.9,2.1,16,42,14,7
6.7,2,15,36,9.8,5
6.7,2,15,36,9.8,5
7.1,2.8,6,16,10.3,5
7.1,2.8,15,37,10.7,5
7.5,2.3,4,8,11,7
7.1,2.8,15,37,10.7,5
7.8,2.3,34,45,12.7,8
5.9,2.1,16,24,11.1,6
7.5,2.5,5,9,10.9,4
5.9,2.1,16,24,11.1,6
10.4,1.5,34,48,9.9,3
11.6,1.6,36,51,9.9,4
8.8,1.6,16,23,9.4,5
7.6,1.5,27,55,9.3,5
6.7,2.4,36,100,11.7,7
6.7,2.4,36,100,11.7,7
10.1,1.6,9,28,11.2,7
6,2.2,13,26,10,5
11.1,2.65,9,34,12.1,7
6.6,3,21,31,10.3,5
10.6,2.6,34,68,10.9,6
7.1,2,9,92,9.4,5
9.9,1.7,26,42,10.6,6
6.4,1.8,14,31,9.8,5
6.4,1.8,14,31,9.8,5
7.4,1.8,12,39,9.9,6
6.4,1.8,14,31,9.8,5
6.4,1.6,12,32,9.8,5
9.3,1.9,9,22,9.5,5
9.3,1.9,9,22,9.5,5
8,2.5,26,122,9.7,5
9.3,1.5,41,55,10.9,6
9.3,1.5,41,55,10.9,6
7.6,2.5,10,14,11.7,7
9.3,1.5,41,55,10.9,6
8.2,2.5,16,47,11.3,7
11.7,1.7,17,32,10.6,7
6.8,1.8,15,24,11.2,6
7.2,2.7,15,85,9.5,5
5.8,2,15,88,11.5,6
7.5,2.7,7,25,10.4,5
7.2,2.5,17,84,9.7,5
7.2,2.7,15,85,9.5,5
7.2,2.6,16,86,9.7,5
6.8,2.3,13,24,11.3,6
6.9,2,13,22,11.2,6
6.8,1.8,15,24,11.2,6
7.6,2,27,43,10.9,6
7.7,2.1,31,43,11.8,6
6.9,1.5,36,46,10.6,5
7.3,2,28,48,10,4
9.1,1.6,6,10,11.1,7
10.4,2.1,6,10,11.8,7
8.8,2.8,7,16,11.8,7
7.1,2.2,7,14,10.9,4
7.7,2.1,31,43,11.8,6
8.8,4,30,69,10,6
7.2,2.5,18,88,9.5,5
9.2,1.6,10,21,9.9,5
7.6,2.1,30,35,11.4,6
8.4,3.1,14,26,12,6
7.2,2.5,18,88,9.5,5
8.8,4,30,69,10,6
8.9,2.5,9,30,10.5,5
9,2.4,8,28,10.4,6
10.7,2.6,29,56,12.1,7
6.8,2.5,32,64,11.2,6
10.7,6.6,23,99,9.3,5
7.2,2,30,52,10.1,5
7.2,2.3,16,86,9.7,5
10.1,1.9,10,18,9.3,6
7.2,2.3,16,86,9.7,5
7.2,2.2,17,88,9.8,6
7.1,2.3,27,43,10.7,6
8.3,2.4,17,43,12.5,7
7.1,2.3,27,43,10.7,6
8.3,2.4,17,43,12.5,7
8.3,3.4,6,11,11,3
8.9,2.6,10,39,11.8,5
7.4,2.4,16,33,10.8,7
7.4,2.4,16,33,10.8,7
6.8,6,11,18,10.8,7
6.8,6,11,18,10.8,7
9.2,3,15,115,9.5,5
7.2,2.6,12,78,11,5
6.1,2.2,6,9,11.5,6
7.4,2.4,34,61,10.8,6
7.3,1.2,7,11,11.5,6
9.3,3.8,3,11,13.2,6
9.1,9,3,9,10.9,6
10,2.9,4,8,12.2,6
9.4,4.6,3,10,12.2,7
7.3,1.2,7,11,11.5,6
8.6,2.2,3,6,11.9,6
5.3,1.5,7,62,11,5
6.8,8.8,26,45,10.1,6
8.4,2.2,32,79,11,6
8.4,1.8,38,46,11.8,6
9.6,2.3,10,23,10.5,5
8.4,2.2,32,79,11,6
8.4,1.8,38,46,11.8,6
6.8,8.8,26,45,10.1,6
8.6,2.3,14,28,11.2,5
8.6,1.9,53,77,11,7
9.4,2.3,52,73,10.2,6
8.4,2.2,11,75,9.2,4
8.6,2.3,14,28,11.2,5
8.7,3.3,10,19,12,7
6.6,1.9,8,25,10.5,5
7.4,2,13,38,9.8,5
7.6,1.9,29,66,9.5,6
7.4,2,13,38,9.8,5
6.6,1.9,8,25,10.5,5
8.8,2.3,19,72,11.8,6
8.8,2.3,19,72,11.8,6
12,1.4,6,26,10.4,4
7.2,2.8,23,42,12.9,7
6.2,1.6,7,11,11.4,5
9.6,2.2,13,25,12.4,7
9.9,5,9,17,12.5,7
10.1,2.6,13,52,10,7
9.8,2.3,10,45,9.7,7
8.3,3.8,11,24,12.1,7
10.2,2,7,20,11.1,7
10.2,4.1,11,24,12,7
8.3,2.1,6,12,12.4,7
8.9,1.8,10,21,11.9,7
8.9,1.8,10,21,11.9,7
8.9,1.8,10,21,11.9,7
8.3,2.1,6,12,12.4,7
8.2,2.2,6,10,11.2,7
10.2,2.1,5,9,12.1,7
7.6,2.7,6,11,12.2,6
8.5,1.9,9,23,10.4,5
9,2.1,5,10,11.3,6
9.5,2,12,51,11.1,6
6.4,2.3,25,36,11.3,7
8,2,12,32,10,5
8.5,1.9,18,38,11.1,6
7.1,1.6,7,18,9.3,5
6.6,2.1,6,16,9.5,5
8.8,2,20,27,11.2,6
8.5,1.9,18,38,11.1,6
8.3,2.4,24,48,11,6
9,2.4,6,10,11.9,7
8.5,2.1,23,113,9.2,5
9,2.4,29,46,12.2,6
6.7,2.9,7,22,10.2,5
10.4,1.9,6,10,10.9,6
10.4,1.9,6,10,10.9,6
10.1,2.4,6,13,11.6,7
8.5,1.7,6,12,10.7,5
8.8,5.9,7,13,12.1,7
7.2,2.1,35,72,9.4,5
7.2,2.1,35,72,9.4,5
8.4,2.6,31,119,9.1,5
7,3.6,9,29,11.3,7
12.2,1.4,3,6,10.4,5
9.1,1.9,8,17,10.5,6
9.5,1.9,13,28,10,5
7.3,2.1,51,70,12.9,6
9.1,1.9,8,17,10.5,6
12.2,1.4,3,6,10.4,5
7.4,2,7,11,11.3,6
9.8,1.4,3,7,11.4,7
7.1,1.6,35,70,9.4,5
7.7,1.7,19,27,9.4,5
9.7,1.5,14,21,10.9,6
7.7,1.7,19,27,9.4,5
7.1,2,31,68,9.4,5
6.5,2,30,47,9.4,6
7.1,2,31,68,9.4,5
10,2.5,20,88,9.4,5
7.7,2,19,41,10.1,6
5.6,2.2,3,11,12.8,7
5.6,2.2,3,11,12.8,7
8.9,1.4,4,10,9.1,6
6.4,1.65,7,12,12.9,6
7.5,2.2,6,12,11.5,7
9.9,1.5,31,47,10.6,7
9.1,02.05,13,27,11.7,7
6.8,1.8,4,8,12.8,7
8.2,1.6,27,45,10.3,5
6.8,1.8,4,8,12.8,7
9.1,02.05,13,27,11.7,7
9.1,2,12,25,11.7,7
8.9,3.6,12,24,12,7
9.6,2.8,26,55,10.9,5
8.9,1.7,7,12,12.3,7
8.9,2,12,19,10.4,6
7.7,2.1,11,32,10,5
7.5,1.6,22,31,10,6
8,2,3,7,11.2,6
10.5,2.2,14,27,11.4,6
8.9,2.2,12,28,12.6,7
8,0.9,36,109,12.7,6
8,0.9,36,109,12.7,6
7,1.8,10,23,10.4,5
11.3,2.4,3,8,11.9,6
11.3,2.4,3,8,11.9,6
7,2.1,4,9,10.5,5
8.2,2.3,3,9,12.3,6
7.7,1.8,12,18,10.5,7
8.6,2.8,17,43,10.4,6
7.9,1.9,14,36,12.6,6
6.4,2.2,28,52,11.6,5
7.2,2.5,41,68,10.1,6
7.7,1.8,12,18,10.5,7
7.1,2.1,9,14,11.5,7
7.3,1.8,9,15,11,7
8.1,4.1,5,14,9.6,5
7.5,2.6,14,27,10.4,6
8.9,2.5,15,48,9.7,6
10.1,2.4,5,17,10.6,7
7.6,2.5,26,35,12.5,7
7.3,1.8,20,56,9.2,5
8.7,6.2,25,42,12.6,7
8.9,2.2,21,39,11.1,6
7.4,2.2,16,32,10.2,5
6.9,1.7,13,26,9.8,6
8.9,2.2,21,39,11.1,6
9.5,8.9,18,39,10.9,7
6.4,3.3,12,53,12.2,6
6.9,1.4,32,38,11.4,6
7.6,1.7,33,45,10.7,6
7.1,1.8,27,51,10.4,5
9.3,1.7,3,14,10.9,6
9.3,1.8,6,17,10.8,6
7.1,1.8,27,51,10.4,5
8.5,1.4,16,45,9.2,5
5.6,2.4,19,25,12.9,5
8.3,2.3,9,20,12.7,7
8.2,2,5,77,9.1,6
8.2,2,5,77,9.1,6
8.9,4,3,10,12.1,7
7.6,3.9,28,90,9.1,5
9.9,2.4,30,52,11.6,7
8.9,4,3,10,12.1,7
11.6,1.8,3,8,9.9,6
9.1,1.8,7,16,12.5,8
8,1.9,6,15,11.4,6
10.2,2.4,6,17,11.8,6
8.2,2,5,10,11.8,6
7.7,2.4,6,20,10.2,6
6.6,2.4,13,26,12.5,7
11.1,2.2,3,10,10.9,7
11.1,2.2,3,10,10.9,7
8,2.8,28,52,10.8,5
9.3,1.5,19,37,11.1,7
7.5,8.1,30,92,9.2,5
7.2,1.8,33,75,9.5,6
8,2.7,16,37,10.7,6
7.5,8.1,30,92,9.2,5
9.1,2,45,67,10.2,7
9.9,2,3,8,11.4,6
8.6,6.4,3,8,11,5
8.6,6.4,3,8,11,5
7.9,8.3,37.5,278,12.3,7
10.3,1.4,3,8,11.8,6
7.9,8.3,37.5,289,12.3,7
7.2,1.8,31,70,9.5,6
8.7,2.4,32,59,12,6
7.2,1.8,31,70,9.5,6
6.8,1.8,40,64,9.6,5
8.5,4.7,3,9,11.6,7
7.9,1.6,18,30,11.2,6
11.6,1.5,22,41,9.9,7
11.6,1.5,22,41,9.9,7
10,1.9,42,74,11.8,8
7.9,2,8,19,11.4,6
7,2,10,16,11.5,6
9.2,2.2,11,31,12,7
6.6,5.5,9,17,10.8,6
9.4,2.5,6,20,10.5,5
6.6,5.5,9,17,10.8,6
8.6,1.5,5,18,9.4,5
8,2.1,5,16,12.5,7
8.6,1.5,5,18,9.4,5
8.4,2.1,23,36,12.4,6
7.4,2.1,14,25,12,6
6.1,1.7,18,30,11.2,6
7.4,2.1,14,25,12,6
8,2.2,16,25,12.4,6
6.3,2.1,13,49,12.8,5
8.2,1.9,9,17,12.3,6
9.1,2,10,24,11.7,7
8.1,3.3,4,13,9.5,5
10.8,2.1,27,66,10.8,6
8.3,1.4,6,14,10,6
5.4,2,23,55,12.3,7
7.9,1.5,6,35,11,6
8.9,1.6,3,10,9.5,6
5,4.3,29,80,13.6,6
7,2.5,15,21,11.3,6
7,2.5,15,21,11.3,6
7,2.5,15,21,11.3,6
7.1,2.1,14,24,13.3,6
5.6,2.5,7,15,12.9,5
7.9,2.5,8,17,13.1,8
6.6,1.8,21,28,12.3,6
6.3,1.4,27,33,12.3,6
10.7,1.9,17,29,11.2,6
6.5,2.2,3,13,11.5,4
8.8,1.7,13,27,11.3,7
5.8,1.7,3,11,13.5,6
6.3,2.9,26,52,11.5,6
10,2.7,28,89,10,5
10.5,3.3,24,70,10.5,6
9.1,1.9,5,10,10.4,6
5.9,1.7,57,135,9.5,5
7.4,1.8,18,38,13.6,7
7.2,5.5,10,18,11.2,7
8.5,1.7,6,15,11.8,7
8,1.7,22,50,11.9,6
10.4,2,6,13,11.4,6
10.4,2,6,13,11.4,6
7.5,3.7,29,94,9.1,5
8.2,2,16,86,9.5,6
7.3,1.7,33,79,9.5,6
8.2,2.5,24,71,11,6
6.9,2.4,6,12,11.4,6
7,1.8,16,20,10,6
7.3,2.3,35,70,10.1,5
8.2,2.5,31,51,10.4,6
7.8,1.8,6,21,9.8,6
10,6.2,6,14,11.8,7
7.8,2,9,21,11.6,6
10,2,6,11,12,6
8.2,2.8,4,12,12.8,7
6.1,2.5,16,70,12.5,6
8.3,2.2,9,38,9.8,5
9.6,2.1,17,38,11.1,6
6.6,2.2,50,63,11.4,6
8.3,2.2,9,38,9.8,5
8.5,1.75,45,88,11.8,7
5.1,2.1,16,101,12.9,7
6.7,2.8,22,54,10.6,6
10.2,2.2,11,37,10.8,5
10.6,2.3,6,20,11.1,7
8.8,1.4,12,21,10.2,6
8.5,2.3,12,19,11.8,7
9,1.7,10,21,10,5
9,1.7,10,21,10,5
8.5,1.9,15,38,9.4,5
9.9,2,7,60,10.2,5
8.2,2.5,29,48,12.4,7
6.5,2.8,8,44,12,6
7.6,2.3,5,14,11.5,6
9.2,1.6,5,12,10.5,6
7.1,2.2,26,44,10.8,6
9.7,2.1,5,16,12.3,6
7.6,1.7,26,65,9.5,6
7.6,1.7,26,65,9.5,6
6.5,2.2,48,59,11.5,6
6.5,5.6,23,47,11.2,4
7.1,2.4,6,11,12.7,7
5.6,2.1,17,78,11.4,5
8.2,2.4,11,47,11,6
8.2,2.4,11,47,11,6
9.8,1.65,5,11,11.4,5
10.2,2.5,41,54,10.5,6
6.8,1.6,16,61,9.3,5
6.7,2.1,11,119,10.9,5
7,2,6,39,11.9,6
6.6,7.8,6,12,12.2,5
7,2,6,39,11.9,6
6.7,2.1,11,119,10.9,5
8.8,1.8,5,19,9.6,4
9.1,4.6,6,20,12.5,6
6.5,2.3,6,12,10.8,5
7.2,2.5,11,41,12.4,7
6.4,2.3,6,12,10.8,5
7,1.8,15,64,9.5,6
6.2,1.8,21,56,9.5,6
7.9,2.3,23,94,9.5,6
7.7,1.5,4,9,9.8,6
7.7,2,19,77,10.9,6
7.9,2.3,23,94,9.5,6
7.7,1.5,4,9,9.8,6
7.9,1.9,5,10,11.2,7
8.6,1.8,6,12,11.7,8
9.9,5.8,33,76,9.4,5
7.2,2.1,24,44,11,7
7.2,2.1,24,44,11,7
7.2,2.1,24,44,11,7
9.9,1.7,24,52,10,5
7.2,2.1,24,44,11,7
6.2,2,14,24,11.2,7
6.8,2.1,8,15,10.4,6
6.6,2.1,22,53,9.3,5
6.8,2.1,8,15,10.4,6
9.6,1.9,5,13,10.5,6
10.2,1.9,6,9,10.4,6
8.8,2.1,20,29,11.3,6
7.9,2,10,79,9.5,6
8.2,1.9,43,74,12,6
8.2,1.9,8,24,10.6,6
9,1.3,25,50,10.9,6
10.9,1.8,17,44,11.5,6
10.9,1.8,17,44,11.5,6
8.1,2.2,33,89,9.6,6
10.5,2.2,9,23,12,6
12.6,2.5,8,20,10.3,6
9.2,2.6,18,77,9.4,5
7.5,4.1,27,46,9.2,5
9,2,8,21,9.6,5
5.1,1.8,18,88,13.6,7
7.6,2.1,19,66,9.5,5
7.7,2.7,15,58,11.8,6
7.8,2.6,48,90,10.8,5
7.6,2.1,19,66,9.5,5
10.2,2.2,14,36,9.3,4
7.1,2.2,11,18,12.8,6
6,12.9,6,113,11.5,4
7.8,1.7,7,17,9.4,6
7.1,2.2,11,18,12.8,6
8.1,2.5,12,24,9.6,4
6.5,4.3,11,20,11.8,4
7.5,1.7,36,60,9.3,5
9.8,2.5,28,65,9.8,5
9,2,15,40,12.2,6
8.3,2.4,10,86,9.5,5
5.9,13.4,72,160,10.3,6
7.4,1.8,15,34,10.5,5
7.4,1.7,15,48,10,5
7.4,1.8,15,34,10.5,5
6.9,2.2,22,36,11.1,6
7.1,2.3,24,37,10.9,6
7.1,2.3,24,37,10.9,6
7.5,2.2,27,60,9.8,5
7.1,1.8,6,14,9.8,5
7.9,1.4,6,13,9.5,5
7.8,1.9,20,35,10.9,5
6.1,2.4,26,46,11,5
7.5,1.8,43,60,9.2,5
7,4.8,12,69,11,6
6.8,2.7,15,33,11.3,6
6.8,2.7,15,33,11.3,6
8.6,1.8,19,56,9.3,5
6.3,2,17,24,11.2,4
9.8,2.5,34,66,9.8,5
8.2,2.2,13,26,9.6,4
8.5,1.8,26,51,11.8,6
7.2,2.3,16,36,10.3,6
7.2,2.3,16,36,10.3,6
10.4,2.3,13,19,11.4,6
6.9,2,21,51,9.5,6
5.5,1.8,28,87,14,8
5,1.6,26,60,14,6
7.3,1.6,24,64,11.7,6
5.9,1.9,25,44,11.2,5
7.5,2,34,44,9.3,5
7.8,2.1,17,36,11.2,6
8,2.3,13,81,9.5,6
8.5,6.3,3,10,12,4
7,1.9,3,10,9.7,6
8,2.3,13,81,9.5,6
9.8,1.7,3,9,11.5,7
7.1,1.9,28,54,10.4,6
7.1,1.9,28,54,10.4,6
7.9,2,9,22,10.9,6
8.7,2.7,17,69,10.2,6
7,2.3,18,36,10.9,5
11.3,1.8,20,47,10.5,5
7.1,2.5,17,31,12.4,6
8,2.6,3,7,13,5
7,4.5,20,110,10.2,5
7,4.5,20,110,10.2,5
7.6,1.9,6,12,11,5
8.2,2.1,25,60,10.9,6
5.9,2.4,14,28,12.4,6
7.5,1.9,6,12,9.7,4
8.2,2.1,25,60,10.9,6
6.6,4.3,51,77.5,9.5,5
6.6,4.3,51,77.5,9.5,5
7.2,2.1,15,29,12.1,6
5.7,1.4,11,18,12.2,6
7.6,2.1,5,9,10.9,3
5.2,2.15,15,28,12.5,6
6.7,2,20,57,11.7,6
9.1,2.1,4,15,11.2,6
8,1.8,28,68,11.2,5
7.6,2.3,21,68,9.2,5
7.5,1.9,24,88,9.8,5
9.7,2.5,22,91,10.1,5
6.8,3.9,15,29,11.1,4
9.7,2.5,22,91,10.1,5
7,1.4,27,63,9.2,5
7.5,1.9,24,88,9.8,5
6.5,3,12,27,12.8,6
8,1.9,14,41,10.5,5
7,2.3,20,65,10.1,6
7,2.4,24,69,10.1,6
7.5,2,17,91,9.8,6
5.4,1.2,16,46,12.5,6
9.9,2.2,10,41,11.9,6
7.5,2,17,91,9.8,6
9.1,1.7,18,64,9.1,6
9.7,2.6,12,88,10.1,5
5,1.2,16,46,12.5,6
9.1,1.8,9,18,11.4,5
9.1,1.8,21,55,11,7
6.7,1.7,18,34,10.6,6
6.7,1.7,18,34,10.6,6
6.7,1.7,18,34,10.6,6
6.7,1.7,18,34,10.6,6
6.5,1.8,13,38,9.3,5
7.4,2.1,17,91,9.8,6
7.4,2.1,17,91,9.8,6
7.8,3.8,31,67,9.2,5
8.4,1.7,6,25,9.7,6
9.1,2.2,12,48,9.6,5
7.2,2,4,11,10,5
6.6,2.4,19,40,12.6,6
6,1.4,15,26,9.5,5
6,1.4,15,26,9.5,5
6,1.4,15,26,9.5,5
7.5,1.7,13,31,10.5,6
7.5,1.7,13,31,10.5,6
7.5,1.7,13,31,10.5,6
7.6,1.7,17,31,10.4,6
7.5,1.7,13,31,10.5,6
11.5,2.6,8,20,11,5
8.2,2.3,10,28,10.2,6
6.1,2.1,5,13,11.4,5
7.2,1.8,7,12,9.5,5
7.2,1.8,7,12,9.5,5
6.9,2.8,21,41,10.8,5
9,2,32,73,10,5
7.2,2.3,8,46,11.8,6
7.6,1.9,14,57,10.3,5
7.6,1.9,14,57,10.3,5
7.2,2.3,7,28,10,5
6.1,1.8,5,32,10.1,5
6.1,1.8,4,28,10.1,5
7.3,2.5,27,67,11.1,6
7.4,5.4,52,98,9.5,5
11.6,1.4,6,28,10.03333333,6
9.2,2.3,11,38,10.9,5
8.3,2.5,13,54,10.1,5
11.6,1.4,6,28,10.03333333,6
8,2,11,63,9.8,4
7.2,1.9,10,31,11.8,6
7.8,2.2,10,42,9.5,5
7.3,1.7,10,45,9.8,5
6.9,2.2,9,105,10.5,6
8,2.1,16,74,9.8,6
6.6,1.6,4,8,10.4,4
8.7,1.7,12,66,9.2,5
7.5,3.1,5,14,11.6,6
8.7,1.7,12,66,9.2,5
7.7,3.8,34,89,9.3,5
6.8,1.2,16,29,9.8,3
7.2,2,13,100,9.9,5
8.2,1.4,7,31,10,5
5.2,2.3,23,74,12.2,6
7.2,2,10,28,9.9,6
7.5,2.6,11,35,10.8,6
7.5,2.6,11,35,10.8,6
6.8,1.8,4,25,9.6,5
8,2.1,25,105,9.9,5
8,2.1,25,105,9.9,5
7.1,1.8,20,84,9.5,5
8,3.4,34,85,9.2,5
7.4,1.8,8,23,9.6,5
7.4,1.8,8,23,9.6,5
6.6,6.1,7,49,10.3,5
6.7,2.2,36,111,9.7,5
6,2.3,15,33,12.5,6
8,2.4,5,33,11,5
7.1,1.3,5,12,9.8,5
8,2,19,59,10.2,5
6.4,3.9,27,73,9.2,5
8.6,1.6,3,12,9.55,6
8.7,1.6,4,11,9.55,5
7.3,2,17,104,9.9,5
7,2.2,13,28,10.2,7
7.2,2.2,10,24,11.1,6
7.9,2.1,33,141,9.9,5
7.9,2.1,33,141,9.9,5
7.6,2,6,24,11.9,6
7.2,1.7,3,13,10,8
8,2.6,12,46,10.7,6
7.7,2,18,34,11.3,7
8.2,5.1,8,22,10.9,6
6,2.1,40,54,10.7,6
8.1,2.2,35,53,12.4,7
6,2.1,40,54,10.7,6
6.6,1.8,5,16,11.9,6
6.4,2.4,8,19,10.6,6
8.2,5.1,8,22,10.9,6
9.9,2,12,89,10.1,5
10,2.2,3,15,9.6,5
6.2,1.6,8,18,9.4,5
10,2.2,3,15,9.6,5
7.3,2.5,21,37,12.1,7
7.8,1.6,3,19,9.8,5
7.7,2.2,32,133,9.9,5
7.8,1.6,3,19,9.8,5
7.5,1.6,24,58,9.4,5
7,2.1,39,55,11.4,6
6.4,3.9,14,31,11,4
8.3,1.4,8,23,9.6,6
8.3,1.4,8,23,9.6,6
7.7,1.8,23,60,12.1,6
7.6,2.5,6,23,11.2,5
7.8,1.9,27,55,11,5
7.9,2.2,38,67,11.3,5
7.4,1.8,18,47,10.4,5
7.6,2.1,13,74,9.9,6
5.9,1.6,3,11,11.7,6
6.1,1.8,11,25,10.1,7
10.2,15.4,55,95,9,6
10.2,15.4,55,95,9,6
10,1.6,27,90,8.5,5
6.8,4.8,15,39,11.1,5
7,1.7,3,8,10.3,5
7.3,2.2,31,92,11.06666667,6
7.2,2,15,28,11.3,7
7.4,5.2,19,98,9.566666667,6
6.9,1.9,18,30,9.8,5
6.9,1.75,8,22,11.7,5
7.3,2.2,31,92,11.1,6
7.4,5.2,19,98,9.6,6
6.9,1.9,18,30,9.8,5
6.8,1.9,22,39,9.7,5
6.9,1.9,40,54,9.7,5
7.2,2,15,29,11.3,8
7.2,2,15,28,11.3,7
7.8,2.7,8,17,11,7
6.6,2,37,53,11.6,7
7.6,1.9,27,85,9,5
11.7,2.2,7,23,10.9,6
6.5,1.6,9,17,10.9,6
6,1.8,38,89,10.55,6
7.6,1.9,27,85,9,5
8.4,1.7,8,20,10.5,5
7.9,1.7,7,15,11.9,7
6.4,2.3,34,64,10.4,6
6.2,2.1,6,13,10,4
6.8,2.3,14,31,10.4,6
6.9,2.4,14,39,10.8,6
6.8,1.7,34,53,9.7,5
6.8,1.7,34,53,9.7,5
7.3,2.1,31,54,10,7
6.7,2.3,19,32,11,4
7.3,2.1,31,54,10,7
7.3,2.1,20,49,9.7,3
10,1.4,8,24,9.7,5
6.7,3.75,8,16,12.6,5
7.6,2.6,23,44,11.1,6
6.1,1.8,14,45,11,5
9.9,13.8,48,82,8.8,5
5.3,2.2,16,89,13.56666667,7
9.9,13.8,48,82,8.8,5
5.3,2.2,16,89,13.6,7
7.1,5.7,3,14,10.2,3
8.2,3,10,22,10.6,5
5.6,1.5,6,13,10.1,4
8.2,3,10,22,10.6,5
7.2,2.1,3,9,10.3,4
8.1,1.5,6,12,10.7,5
6.8,2,4,11,10.9,4
7,2.1,8,25,9.7,5
6.8,2.1,9,23,10.3,5
6,1.9,9,17,10.6,5
5.6,1.7,5,13,11.4,5
6.2,2.1,4,11,10.8,6
7.1,1.8,8,18,12.4,6
5.6,1.7,5,13,11.4,5
6.2,1.6,6,18,11.95,5
7.7,1.9,23,147,9.7,5
6.4,1.4,15,28,10,7
7,1.9,15,28,10.6,6
7.7,1.9,23,147,9.7,5
6.9,2.3,7,16,11.5,6
6.6,2.3,7,13,10.8,6
6.9,2.3,7,16,11.5,6
7.5,1.5,8,15,9.6,5
7.8,4.3,21,64,9.4,5
7.3,2.4,15,60,9.8,5
6.2,2.5,6,14,11,6
7.5,2.3,5,12,11.4,6
6.7,1.8,6,12,9.95,3
6.8,2,6,14,10.8,6
7.5,2.3,5,12,11.4,6
7.1,2.1,17,25,10.6,6
7.9,1.8,7,20,11.1,5
6.4,2.2,26,48,9.7,6
7.1,2.1,19,27,9.8,5
6.4,2.2,11,17,10.4,6
6.4,1.8,17,65,10.5,6
6.9,4.1,16,65,9.233333333,6
6.9,4.1,16,65,9.25,6
6.1,2.3,23,58,10.6,5
6.5,2,29,44,10.3,6
7.4,2.2,7,20,10.5,5
6.6,2.6,14,27,10.2,5
6.5,2,29,44,10.3,6
6.9,1.9,9,23,09.05,4
6.1,2.3,23,58,10.6,5
6.8,2,29,61,10.4,5
6,2,22,47,10,6
6.7,2.1,18,34,9.7,5
6.8,2.2,18,38,9.6,6
7.1,1.7,15,24,10.8,6
7.9,2.2,21,59,10.1,6
7.1,2.1,42,52,10.2,6
6.6,2.2,9,18,11.3,6
6.1,2.8,13,28,10.2,5
7.2,2,18,22,9.9,6
8,1.9,32,84,9,5
6.6,2.4,13,29,11.7,7
7,2.2,15,35,9.7,6
6.1,1.9,24,45,10.3,6
5.4,1.9,20,31,10.2,6
6.2,2.5,15,26,12,5
7.2,1.8,34,60,9.9,5
6.2,4.4,11,32,11.6,6
7.4,2.2,19,49,10.9,7
6.7,1.9,29,38,10.75,6
11.1,2.2,14,19,10.4,6
8.4,2.3,12,19,11.2,7
6.5,1.8,16,28,10.1,6
7,2,17,26,10.2,5
6.3,1.6,12,26,12.1,5
11.2,2,19,50,10.4,5
7.4,1.8,17,24,11.4,8
7.1,2.3,17,26,9.5,5
7.1,2.3,18,27,9.4,5
6.3,3.7,32,54,11.3,6
7.3,2.2,18,28,9.4,5
6.6,2.4,15,23,11,6
7,1.7,15,24,10.55,7
6.6,2.2,12,20,9.9,5
6.6,2.4,15,23,11,6
6.9,6.7,66,115,9.5,5
7.8,2,31,131,9.9,5
7.8,2,31,131,9.9,5
7.8,2,31,131,9.9,5
7.2,2,12,20,10.1,5
7.2,2,12,20,10.1,5
7.2,2,12,20,10.1,5
6.7,1.9,26,42,10.9,6
6.7,2.1,24,52,11.2,6
7.2,2,12,20,10.1,5
7,1.6,25,42,9.2,5
6.2,1.9,15,34,11.5,6
6.4,2.2,19,35,12.4,6
6.4,2.2,15,25,11.1,6
7.3,2.2,35,104,9.5,5
6,2.4,15,50,12.5,6
5.6,13.9,23,92,10.5,6
7.5,2.2,12,20,11.8,6
8,1.6,16,29,10.8,6
6.2,5.1,13,27,11.9,6
6.8,1.8,13,20,11.3,6
6.2,1.7,24,32,11.3,5
7.4,2.4,9,26,11.9,6
6.2,1.7,24,32,11.3,5
6.1,2.6,13,27,11.9,5
6.2,2.1,32,98,9.8,5
6.7,2.4,24,34,11.6,7
7.2,2.6,22,48,11.5,6
7.5,2.4,34,60,11.4,6
5.8,1.8,18,28,10.9,6
7.2,2.5,34,102,12.8,6
6.6,7.8,29,79,9.2,5
6.3,1.8,26,35,11.6,6
5.4,1.7,16,26,11.6,6
6.3,2.3,29,40,11,6
6.8,1.9,28,38,9.5,6
6.2,2,32,44,10.5,5
5.9,2.2,39,51,11.2,6
6.3,2.3,29,40,11,6
5.9,2,32,44,10.2,5
6,3.6,18,42,11,6
